,SOVEREIGNT,flag_url
0,China,https://www.countryflags.com/wp-content/uploads/china-flag-png-large.png
1,Taiwan,https://www.countryflags.com/wp-content/uploads/taiwan-flag-png-large.png
2,Spain,https://www.countryflags.com/wp-content/uploads/spain-flag-png-large.png
3,United States of America,https://www.countryflags.com/wp-content/uploads/united-states-of-america-flag-png-large.png
4,South Korea,https://www.countryflags.com/wp-content/uploads/south-korea-flag-png-large.png
5,France,https://www.countryflags.com/wp-content/uploads/france-flag-png-large.png
6,Japan,https://www.countryflags.com/wp-content/uploads/japan-flag-png-large.png
7,Vanuatu,https://www.countryflags.com/wp-content/uploads/vanuatu-flag-png-large.png
8,Ecuador,https://www.countryflags.com/wp-content/uploads/ecuador-flag-png-large.png
9,Sri Lanka,https://www.countryflags.com/wp-content/uploads/sri-lanka-flag-png-large.png
10,Russia,https://www.countryflags.com/wp-content/uploads/russia-flag-png-large.png
11,Portugal,https://www.countryflags.com/wp-content/uploads/portugal-flag-png-large.png
12,Panama,https://www.countryflags.com/wp-content/uploads/panama-flag-png-large.png
13,Seychelles,https://www.countryflags.com/wp-content/uploads/seychelles-flag-png-large.png
14,Australia,https://www.countryflags.com/wp-content/uploads/australia-flag-png-large.png
15,Philippines,https://www.countryflags.com/wp-content/uploads/philippines-flag-png-large.png
16,Argentina,https://www.countryflags.com/wp-content/uploads/argentina-flag-png-large.png
17,Federated States of Micronesia,https://www.countryflags.com/wp-content/uploads/federated-states-of-micronesia-flag-png-large.png
18,South Africa,https://www.countryflags.com/wp-content/uploads/south-africa-flag-png-large.png
19,New Zealand,https://www.countryflags.com/wp-content/uploads/new-zealand-flag-png-large.png
20,Mexico,https://www.countryflags.com/wp-content/uploads/mexico-flag-png-large.png
21,Belize,https://www.countryflags.com/wp-content/uploads/belize-flag-png-large.png
22,Fiji,https://www.countryflags.com/wp-content/uploads/fiji-flag-png-large.png
23,Mauritius,https://www.countryflags.com/wp-content/uploads/mauritius-flag-png-large.png
24,Papua New Guinea,https://www.countryflags.com/wp-content/uploads/papua-new-guinea-flag-png-large.png
25,Netherlands,https://www.countryflags.com/wp-content/uploads/netherlands-flag-png-large.png
26,Senegal,https://www.countryflags.com/wp-content/uploads/senegal-flag-png-large.png
27,Marshall Islands,https://www.countryflags.com/wp-content/uploads/marshall-islands-flag-png-large.png
28,Norway,https://www.countryflags.com/wp-content/uploads/norway-flag-png-large.png
29,Ireland,https://www.countryflags.com/wp-content/uploads/ireland-flag-png-large.png
30,Venezuela,https://www.countryflags.com/wp-content/uploads/venezuela-flag-png-large.png
31,United Kingdom,https://www.countryflags.com/wp-content/uploads/united-kingdom-flag-png-large.png
32,Ghana,https://www.countryflags.com/wp-content/uploads/ghana-flag-png-large.png
33,Solomon Islands,https://www.countryflags.com/wp-content/uploads/solomon-islands-flag-png-large.png
34,Namibia,https://www.countryflags.com/wp-content/uploads/namibia-flag-png-large.png
35,Canada,https://www.countryflags.com/wp-content/uploads/canada-flag-png-large.png
36,El Salvador,https://www.countryflags.com/wp-content/uploads/el-salvador-flag-png-large.png
37,Guatemala,https://www.countryflags.com/wp-content/uploads/guatemala-flag-png-large.png
38,Malaysia,https://www.countryflags.com/wp-content/uploads/malaysia-flag-png-large.png
39,Kiribati,https://www.countryflags.com/wp-content/uploads/kiribati-flag-png-large.png
40,Denmark,https://www.countryflags.com/wp-content/uploads/denmark-flag-png-large.png
41,Brazil,https://www.countryflags.com/wp-content/uploads/brazil-flag-png-large.png
42,Cabo Verde,https://www.countryflags.com/wp-content/uploads/cabo-verde-flag-png-large.png
43,Estonia,https://www.countryflags.com/wp-content/uploads/estonia-flag-png-large.png
44,Uruguay,https://www.countryflags.com/wp-content/uploads/uruguay-flag-png-large.png
45,Colombia,https://www.countryflags.com/wp-content/uploads/colombia-flag-png-large.png
46,Ukraine,https://www.countryflags.com/wp-content/uploads/ukraine-flag-png-large.png
47,Italy,https://www.countryflags.com/wp-content/uploads/italy-flag-png-large.png
