flag,Bin,Actual_Count,Expected_Count,SOVEREIGNT
CHN,62.5,256,708.5033774693756,China
CHN,87.5,252,651.0242304462275,China
CHN,112.5,231,598.208226108876,China
CHN,137.5,197,549.6770550906318,China
CHN,162.5,157,505.08309933892366,China
CHN,187.5,118,464.10694220399927,China
CHN,212.5,3026,426.4550805280683,China
CHN,237.5,657,391.85782234703487,China
CHN,262.5,474,360.0673551465735,China
CHN,287.5,393,330.85597083584736,China
CHN,312.5,304,304.0144347247748,China
CHN,337.5,295,279.35048682219787,China
CHN,362.5,262,256.6874647200421,China
CHN,387.5,251,235.86303819953258,China
CHN,412.5,209,216.72804649572444,China
CHN,437.5,146,199.14542989188737,China
CHN,462.5,117,182.98924799106237,China
CHN,487.5,99,168.14377763282303,China
CHN,512.5,128,154.5026839938557,China
CHN,537.5,122,141.968258935117,China
CHN,562.5,128,130.4507211400268,China
CHN,587.5,130,119.86757303074685,China
CHN,612.5,80,110.14300985625442,China
CHN,637.5,65,101.20737671966714,China
CHN,662.5,80,92.99666965560844,China
CHN,687.5,52,85.45207718395216,China
CHN,712.5,50,78.51955905618763,China
CHN,737.5,54,72.1494591770531,China
CHN,762.5,62,66.29614992891578,China
CHN,787.5,53,60.91770535121377,China
CHN,812.5,27,55.97560083408265,China
CHN,837.5,12,51.43443717506911,China
CHN,862.5,14,47.26168702248968,China
CHN,887.5,9,43.4274618891811,China
CHN,912.5,8,39.90429806787843,China
CHN,937.5,5,36.66695991475346,China
CHN,962.5,4,33.692259092070486,China
CHN,987.5,3,30.958888475246905,China
CHN,1012.5,7,28.44726953463204,China
CHN,1037.5,4,26.13941209882202,China
CHN,1062.5,8,24.018785495046743,China
CHN,1087.5,3,22.070200143600946,China
CHN,1112.5,0,20.279698758249936,China
CHN,1137.5,0,18.634456373273558,China
CHN,1162.5,1,17.122688481072323,China
CHN,1187.5,2,15.733566622329123,China
TWN,62.5,205,533.342565922622,Taiwan
TWN,87.5,206,493.7576987146237,Taiwan
TWN,112.5,218,457.110833856322,Taiwan
TWN,137.5,159,423.18391181094137,Taiwan
TWN,162.5,120,391.7750574949188,Taiwan
TWN,187.5,116,362.6973790622671,Taiwan
TWN,212.5,983,335.7778558435793,Taiwan
TWN,237.5,738,310.85630882255293,Taiwan
TWN,262.5,568,287.7844475241354,Taiwan
TWN,287.5,413,266.42498764291565,Taiwan
TWN,312.5,379,246.65083416147854,Taiwan
TWN,337.5,324,228.34432509795752,Taiwan
TWN,362.5,249,211.39653138292343,Taiwan
TWN,387.5,280,195.70660869965127,Taiwan
TWN,412.5,303,181.1811974310002,Taiwan
TWN,437.5,250,167.7338671424722,Taiwan
TWN,462.5,232,155.284602295904,Taiwan
TWN,487.5,191,143.7593261336747,Taiwan
TWN,512.5,237,133.089459900387,Taiwan
TWN,537.5,187,123.21151477926662,Taiwan
TWN,562.5,127,114.06671411518103,Taiwan
TWN,587.5,122,105.60064367639839,Taiwan
TWN,612.5,88,97.76292787402652,Taiwan
TWN,637.5,48,90.50693001256974,Taiwan
TWN,662.5,44,83.7894747879837,Taiwan
TWN,687.5,23,77.57059138201865,Taiwan
TWN,712.5,30,71.8132756241981,Taiwan
TWN,737.5,20,66.48326980619602,Taiwan
TWN,762.5,30,61.54885883849273,Taiwan
TWN,787.5,19,56.980681536329406,Taiwan
TWN,812.5,13,52.751555912096684,Taiwan
TWN,837.5,12,48.83631743458433,Taiwan
TWN,862.5,13,45.21166929266917,Taiwan
TWN,887.5,6,41.856043772499675,Taiwan
TWN,912.5,2,38.74947392330728,Taiwan
TWN,937.5,6,35.87347474821655,Taiwan
TWN,962.5,1,33.210933213132094,Taiwan
TWN,987.5,6,30.746006419183484,Taiwan
TWN,1012.5,3,28.46402733286423,Taiwan
TWN,1037.5,1,26.351417512893743,Taiwan
TWN,1062.5,3,24.395606314539357,Taiwan
TWN,1087.5,3,22.584956090608763,Taiwan
TWN,1112.5,0,20.908692944053346,Taiwan
TWN,1137.5,1,19.356842620141336,Taiwan
TWN,1162.5,0,17.92017115672845,Taiwan
TWN,1187.5,0,16.590129939492478,Taiwan
ESP,62.5,216,207.15175808533098,Spain
ESP,87.5,139,188.65874918800472,Spain
ESP,112.5,105,171.81666221013282,Spain
ESP,137.5,75,156.47811479769862,Spain
ESP,162.5,66,142.50888182600153,Spain
ESP,187.5,66,129.78672081749724,Spain
ESP,212.5,751,118.20030221783408,Spain
ESP,237.5,102,107.64823516909314,Spain
ESP,262.5,68,98.03818025493885,Spain
ESP,287.5,55,89.2860414534651,Spain
ESP,312.5,55,81.31523022662556,Spain
ESP,337.5,44,74.05599530644847,Spain
ESP,362.5,66,67.44481231306892,Spain
ESP,387.5,48,61.423827863251326,Spain
ESP,412.5,60,55.940353304879366,Spain
ESP,437.5,42,50.94640364715742,Spain
ESP,462.5,36,46.39827765179142,Spain
ESP,487.5,55,42.25617541058496,Spain
ESP,512.5,22,38.48385006293773,Spain
ESP,537.5,28,35.04829060548832,Spain
ESP,562.5,21,31.919433018209883,Spain
ESP,587.5,18,29.06989717907827,Spain
ESP,612.5,16,26.474747265092486,Spain
ESP,637.5,18,24.111273542962003,Spain
ESP,662.5,13,21.95879363993284,Spain
ESP,687.5,13,19.99847155572176,Spain
ESP,712.5,11,18.213152831752172,Spain
ESP,737.5,6,16.587214435288473,Spain
ESP,762.5,8,15.106428044823328,Spain
ESP,787.5,10,13.757835540362748,Spain
ESP,812.5,9,12.529635609030029,Spain
ESP,837.5,3,11.411080473704294,Spain
ESP,862.5,7,10.392381840978503,Spain
ESP,887.5,7,9.464625245398455,Spain
ESP,912.5,0,8.6196920404342,Spain
ESP,937.5,3,7.8501883535272565,Spain
ESP,962.5,5,7.149380383518503,Spain
ESP,987.5,3,6.511135474256022,Spain
ESP,1012.5,7,5.929868448718653,Spain
ESP,1037.5,4,5.400492734045663,Spain
ESP,1062.5,4,4.918375849768662,Spain
ESP,1087.5,4,4.479298869728184,Spain
ESP,1112.5,0,4.079419502942752,Spain
ESP,1137.5,0,3.7152384703455064,Spain
ESP,1162.5,0,3.383568883165391,Spain
ESP,1187.5,0,3.0815083549832227,Spain
USA,62.5,439,198.28468806253102,United States of America
USA,87.5,370,178.30528874162817,United States of America
USA,112.5,203,160.33903728970392,United States of America
USA,137.5,97,144.18308655018026,United States of America
USA,162.5,65,129.6550284855157,United States of America
USA,187.5,63,116.59083470743529,United States of America
USA,212.5,58,104.84300452176518,United States of America
USA,237.5,70,94.27889957845797,United States of America
USA,262.5,37,84.77924632424737,United States of America
USA,287.5,38,76.23678934994457,United States of America
USA,312.5,40,68.55508042804419,United States of America
USA,337.5,45,61.6473895683421,United States of America
USA,362.5,25,55.435725796862485,United States of America
USA,387.5,36,49.84995660226748,United States of America
USA,412.5,36,44.8270161078794,United States of America
USA,437.5,22,40.310193029228905,United States of America
USA,462.5,18,36.24849037783896,United States of America
USA,487.5,18,32.5960496820129,United States of America
USA,512.5,14,29.311633223816422,United States of America
USA,537.5,17,26.358158446471307,United States of America
USA,562.5,14,23.70227927540982,United States of America
USA,587.5,22,21.314009625916658,United States of America
USA,612.5,21,19.16638484658196,United States of America
USA,637.5,14,17.235157276114194,United States of America
